"id","name","fullName","activeIngridient","activeMoiety","routeOfAdministration","drugbank_id","genericMedicine","representedOrganization"
1,"Cefizox","Cefizox (Injection, Powder, Lyophilized, For Solution)","ceftizoxime sodium","ceftizoxime","Intravenous","DB01332","ceftizoxime","Fujisawa Healthcare, Inc."
2,"FLOVENT DISKUS","FLOVENT DISKUS (Powder, Metered)","fluticasone propionate","fluticasone","Respiratory (inhalation)","DB00588","fluticasone propionate","GlaxoSmithKline"
3,"Nadolol","Nadolol (Tablet)","Nadolol","Nadolol","Oral","DB01203","Nadolol","Teva Pharmaceuticals USA"
4,"Kepivance","Kepivance (Injection)","PALIFERMIN","PALIFERMIN","Intravenous","DB00039","palifermin","Amgen"
5,"POLOCAINE","POLOCAINE (Injection)","Mepivacaine Hydrochloride","Mepivacaine","Infiltration","","Mepivacaine Hydrochloride","AstraZeneca"
6,"MUSTARGEN","MUSTARGEN (Powder, For Solution)","Mechlorethamine hydrochloride","mechlorethamine","Intravenous","","Mechlorethamine hydrochloride","Ovation Pharmaceuticals"
7,"Fluconazole","Fluconazole (Injection, Solution)","fluconazole","fluconazole","Intravenous","DB00196","Fluconazole","Bedford Laboratories"
8,"PRED FORTE","PRED FORTE (Suspension)","prednisolone acetate","prednisolone","Ophthalmic","","prednisolone acetate","Allergan, Inc"
9,"Lupron Depot","Lupron Depot (Injection, Powder, Lyophilized, For Suspension)","leuprolide acetate","leuprolide","Intramuscular","","leuprolide acetate","Abbott Laboratories"
10,"Betimol","Betimol (Solution)","timolol hemihydrate","timolol","Ophthalmic","DB00373","timolol","VISTAKON Pharmaceuticals, LLC"
11,"CHEMET","CHEMET (Capsule)","Succimer","Succimer","Oral","DB00566","Succimer","Ovation Pharmaceuticals, Inc."
12,"REMERON","REMERON (Tablet, Film Coated)","Mirtazapine","Mirtazapine","Oral","DB00370","Mirtazapine","Organon USA, Inc."
13,"Hycomine","Hycomine (Syrup)","Phenylpropanolamine hydrochloride","Phenylpropanolamine","Oral","","hydrocodone bitartrate and phenylpropanolamine hydrochloride","Endo Pharmaceuticals Inc."
14,"BenzaClin","BenzaClin (Kit)","clindamycin phosphate","clindamycin","Topical","","clindamycin phosphate and benzoyl peroxide","Dermik Laboratories"
15,"Bicillin L-A","Bicillin L-A (Injection, Suspension)","penicillin G benzathine","penicillin G","Intramuscular","","penicillin G benzathine","King Pharmaceuticals, Inc."
16,"Potassium Chloride in Dextrose and Sodium Chloride","Potassium Chloride in Dextrose and Sodium Chloride (Injection, Solution)","Dextrose monohydrate","Dextrose","Intravenous","","Dextrose monohydrate, Sodium Chloride and Potassium Chloride","Baxter Healthcare Corporation"
17,"amantadine hydrochloride","amantadine hydrochloride (Syrup)","amantadine hydrochloride","amantadine","Oral","","amantadine hydrochloride","MIKART, INC."
18,"DIPYRIDAMOLE","DIPYRIDAMOLE (Tablet, Film Coated)","dipyridamole","dipyridamole","Oral","DB00975","dipyridamole","Rising Pharmaceuticals, Inc."
19,"Penicillin G Procaine","Penicillin G Procaine (Injection)","penicillin g","penicillin g","Intramuscular","","Penicillin G and procaine","Monarch Pharmaceuticals, Inc."
20,"Quinapril Hydrochloride","Quinapril Hydrochloride (Tablet, Film Coated)","Quinapril Hydrochloride","Quinapril","Oral","","Quinapril Hydrochloride","GENPHARM ULC"
21,"Dipivefrin Hydrochloride","Dipivefrin Hydrochloride (Solution)","dipivefrin hydrochloride","dipivefrin","Ophthalmic","","dipivefrin hydrochloride","FALCON Pharmaceuticals, Ltd"
22,"Ringer's","Ringer's (Injection)","Sodium Chloride","Sodium Chloride","Intravenous","","Sodium chloride, potassium chloride and calcium chloride","B. Braun Medical Inc."
23,"NuvaRing","NuvaRing (Insert, Extended Release)","etonogestrel","etonogestrel","Vaginal","","etonogestrel and ethinyl estradiol","Organon USA, Inc."
24,"Nystatin","Nystatin (Ointment)","nystatin","nystatin","Topical","DB00646","nystatin","E. FOUGERA and CO."
25,"Surmontil","Surmontil (Capsule)","TRIMIPRAMINE MALEATE","TRIMIPRAMINE","Oral","","Trimipramine Maleate","DURAMED PHARMACEUTICALS, INC."
26,"Lacrisert","Lacrisert (Pellet)","hydroxypropyl cellulose","hydroxypropyl cellulose","Ophthalmic","DB00840","hydroxypropyl cellulose","Aton Pharma, Inc."
27,"Sertraline Hydrochloride","Sertraline Hydrochloride (Solution, Concentrate)","Sertraline Hydrochloride","Sertraline","Oral","","Sertraline Hydrochloride","Aurobindo Pharma Limited"
28,"Sodium Chloride","Sodium Chloride (Injection, Solution, Concentrate)","Sodium Chloride","Sodium Chloride","Intravenous","","Sodium Chloride","Hospira, Inc."
29,"Darvon","Darvon (Capsule)","propoxyphene hydrochloride","propoxyphene","Oral","","propoxyphene hydrochloride","Xanodyne Pharmaceticals, Inc."
30,"Plavix","Plavix (Tablet, Film Coated)","clopidogrel bisulfate","clopidogrel","Oral","","clopidogrel bisulfate","Bristol-Myers Squibb/Sanofi Pharmaceuticals Partnership"
31,"Nyamyc","Nyamyc (Powder)","Nystatin","Nystatin","Cutaneous","DB00646","Nystatin","UPSHER-SMITH LABORATORIES, INC."
32,"Amiodarone Hydrochloride","Amiodarone Hydrochloride (Injection)","Amiodarone Hydrochloride","Amiodarone","Intravenous","","Amiodarone Hydrochloride","International Medication Systems, Limited"
33,"Nystatin","Nystatin (Suspension)","Nystatin","Nystatin","Oral","DB00646","Nystatin","Taro Pharmaceuticals U.S.A., Inc."
34,"Hydrochlorothiazide","Hydrochlorothiazide (Tablet)","Hydrochlorothiazide","Hydrochlorothiazide","Oral","DB00999","Hydrochlorothiazide","Aurobindo Pharma USA, Inc."
35,"Etodolac","Etodolac (Tablet)","Etodolac","Etodolac","Oral","DB00749","Etodolac","Genpharm Inc."
36,"Geocillin","Geocillin (Tablet, Film Coated)","carbenicillin indanyl sodium","Carbenicillin","Oral","","carbenicillin indanyl sodium","Roerig"
37,"MIRTAZAPINE","MIRTAZAPINE (Tablet)","MIRTAZAPINE","MIRTAZAPINE","Oral","DB00370","MIRTAZAPINE","Watson Laboratories, Inc."
38,"Irinotecan Hydrochloride","Irinotecan Hydrochloride (Injection)","Irinotecan Hydrochloride","Irinotecan","Intravenous","","Irinotecan hydrochloride","Sagent Pharmaceuticals, Inc. (USA)"
39,"PROMETRIUM","PROMETRIUM (Capsule)","progesterone","progesterone","Oral","DB00396","progesterone","Solvay Pharmaceuticals, Inc."
40,"Tikosyn","Tikosyn (Capsule)","dofetilide","dofetilide","Oral","DB00204","dofetilide","Pfizer Inc."
41,"Aminosyn","Aminosyn (Injection, Solution)","Isoleucine","Isoleucine","Intravenous","","Isoleucine, leucine, lysine acetate, methionine, phenylalanine, threonine,
tryptophan, valine,  alanine, arginine, histidine, proline, serine,
tyrosine, and glycine","Hospira, Inc."
42,"Dexamethasone Sodium Phosphate","Dexamethasone Sodium Phosphate (Injection)","dexamethasone sodium phosphate","dexamethasone phosphate","Intravenous","","Dexamethasone Sodium Phosphate","Baxter Healthcare Corporation"
43,"Bupivacaine Hydrochloride","Bupivacaine Hydrochloride (Injection, Solution)","Bupivacaine Hydrochloride","Bupivacaine","Epidural","","Bupivacaine Hydrochloride","Hospira, Inc."
44,"SANCTURA XR","SANCTURA XR (Capsule, Extended Release)","trospium chloride","trospium cation","Oral","","trospium chloride","Esprit Pharma"
45,"Fluoxetine","Fluoxetine (Capsule)","Fluoxetine Hydrochloride","Fluoxetine","Oral","","Fluoxetine Hydrochloride","Mylan Pharmaceuticals Inc."
46,"Granisetron Hydrochloride","Granisetron Hydrochloride (Tablet, Film Coated)","Granisetron Hydrochloride","Granisetron","Oral","","Granisetron Hydrochloride","Teva Pharmaceuticals USA"
47,"Hypaque Sodium","Hypaque Sodium (Injection, Solution)","Diatrizoate Sodium","Diatrizoic acid","Intravenous","","Diatrizoate Sodium","Amersham Health Inc."
48,"Axid","Axid (Capsule)","nizatidine","nizatidine","Oral","DB00585","Nizatidine","Reliant Pharmaceuticals, Inc."
49,"Dextrose","Dextrose (Injection, Solution)","Dextrose monohydrate","Dextrose","Intravenous","","Dextrose monohydrate","Baxter Healthcare Corporation"
50,"ReoPro","ReoPro (Injection, Solution)","abciximab","abciximab","Intravenous","DB00054","abciximab","Eli Lilly and Company"
51,"MINOXIDIL","MINOXIDIL (Tablet)","minoxidil","minoxidil","Oral","DB00350","minoxidil","MUTUAL PHARMACEUTICAL CO., INC."
52,"Phenytoin Sodium","Phenytoin Sodium (Injection, Solution)","phenytoin sodium","phenytoin","Intravenous","","Phenytoin Sodium","Baxter Healthcare Corporation"
53,"CASODEX","CASODEX (Tablet)","Bicalutamide","Bicalutamide","Oral","DB01128","Bicalutamide","AstraZeneca Pharnaceuticals LP"
54,"Rifadin","Rifadin (Capsule)","rifampin","rifampin","Oral","DB01045","rifampin","sanofi-aventis U.S. LLC"
55,"Cephalexin","Cephalexin (Capsule)","Cephalexin","Cephalexin","Oral","DB00567","Cephalexin","West-ward Pharmaceutical Corp."
56,"nifedipine","nifedipine (Tablet, Film Coated, Extended Release)","nifedipine","nifedipine","Oral","DB01115","nifedipine","UDL Laboratories, Inc."
57,"SOMA COMPOUND with CODEINE","SOMA COMPOUND with CODEINE (Tablet)","carisoprodol","carisoprodol","Oral","","carisoprodol, aspirin and codeine phosphate","MedPointe Pharmaceuticals"
58,"Glipizide and Metformin Hydrochloride","Glipizide and Metformin Hydrochloride (Tablet, Film Coated)","Glipizide","Glipizide","Oral","","Glipizide and Metformin Hydrochloride","TEVA PHARMACEUTICALS USA"
59,"Busulfex","Busulfex (Injection)","Busulfan","Busulfan","Intravenous","DB01008","Busulfan","ESP Pharma, Inc."
60,"Magnesium Sulfate in Dextrose","Magnesium Sulfate in Dextrose (Injection, Solution)","Magnesium Sulfate","Magnesium cation","Intravenous","DB00653","Magnesium Sulfate","Hospira, Inc."
61,"Paroxetine","Paroxetine (Tablet, Film Coated)","Paroxetine Hydrochloride","Paroxetine","Oral","","Paroxetine Hydrochloride","Teva Pharmaceuticals USA"
62,"diphenoxylate hydrochloride and atropine sulfate","diphenoxylate hydrochloride and atropine sulfate (Tablet)","diphenoxylate hydrochloride","diphenoxylate","Oral","","diphenoxylate hydrochloride and atropine sulfate","LANNETT CO., INC."
