"tid","id"
1,"Francis_Xavier_Pierz"
2,"Wardell_Pomeroy"
3,"Anthony_Cave_Brown"
4,"Beyond_Treason"
5,"Depleted_uranium"
6,"Gulf_War_syndrome"
7,"Riegle_Report"
8,"Albinism_in_birds"
9,"Angel_Wing"
10,"Avian_leukosis_virus"
11,"Avipoxvirus"
12,"Avian_influenza"
13,"Avian_adenovirus"
14,"Avian_malaria"
15,"Bird_louse"
16,"Bumblefoot_%28infection%29"
17,"Canarypox"
18,"Egg_bound"
19,"Fatty_liver_hemorrhagic_syndrome"
20,"Feather-plucking"
21,"Filicollosis"
22,"Gallid_herpesvirus_1"
23,"Lymphoid_Leucosis"
24,"Psittacine_beak_and_feather_disease"
25,"Proventricular_Dilatation_Disease"
26,"Psittacosis"
27,"Scaly_leg"
28,"Transmission_and_infection_of_H5N1"
29,"Visceral_gout"
30,"Fowl_cholera"
31,"Anal_sac_adenocarcinoma"
32,"Asteroid_hyalosis"
33,"Bilious_vomiting_syndrome"
34,"Bladder_cancer_in_cats_and_dogs"
35,"Bloat"
36,"Bladder_stone_%28animal%29"
37,"Bone_cancer_in_cats_and_dogs"
38,"Brucellosis"
39,"Cancer_in_dogs"
40,"Canine_degenerative_myelopathy"
41,"Canine_distemper"
42,"Canine_influenza"
43,"Canine_discoid_lupus_erythematosus"
44,"Canine_follicular_dysplasia"
45,"Canine_parvovirus"
46,"Canine_transmissible_venereal_tumor"
47,"Cerebellar_abiotrophy"
48,"Cerebellar_hypoplasia_%28non-human%29"
49,"Cheyletiella"
50,"Cherry_eye"
51,"Chronic_superficial_keratitis"
52,"Coccidia"
53,"Collie_eye_anomaly"
54,"Congenital_vertebral_anomaly"
55,"Coonhound_paralysis"
56,"Corneal_dystrophy"
57,"Corneal_ulcers_in_animals"
58,"Craniomandibular_osteopathy"
59,"Dental_caries_%28non-human%29"
60,"Dermoid_sinus"
61,"Diabetes_in_cats_and_dogs"
62,"Dipylidium_caninum"
63,"Distichia"
64,"Dog_skin_disorders"
65,"Echinococcosis"
66,"Ectopia_lentis"
67,"Ear_mite"
