"id","name"
"DB00001","Refludan (Berlex Labs)"
"DB00002","Erbitux"
"DB00002","Erbitux (ImClone Systems Inc)"
"DB00003","Dilor"
"DB00003","Dilor-400"
"DB00003","Lufyllin"
"DB00003","Lufyllin-400"
"DB00003","Neothylline"
"DB00003","Pulmozyme (Genentech Inc)"
"DB00004","Ontak"
"DB00004","Ontak (Seragen Inc)"
"DB00005","Enbrel"
"DB00005","Enbrel (Immunex Corp)"
"DB00006","Angiomax"
"DB00006","Angiomax (Medicines Co or MDCO)"
"DB00006","Angiox"
"DB00007","Eligard (Atrix Labs/QLT Inc)"
"DB00008","Pegasys (Hoffman-La Roche Inc)"
"DB00009","Activase (Genentech Inc)"
"DB00010","Geref (Serono Pharma)"
"DB00011","Wellferon (GlaxoSmithKline)"
"DB00012","Aranesp (Amgen Inc.)"
"DB00013","Abbokinase"
"DB00013","Abbokinase (Abbott Laboratories)"
"DB00014","Zoladex"
"DB00015","Retavase (Centocor)"
"DB00015","Retavase (Roche)"
"DB00016","Epogen (Amgen Inc.)"
"DB00016","Epogin (Chugai)"
"DB00016","Epomax (Elanex)"
"DB00016","Eprex (Janssen-Cilag. Ortho Biologics LLC)"
"DB00016","NeoRecormon (Roche)"
"DB00016","Procrit (Ortho Biotech)"
"DB00016","Recormon (Roche)"
"DB00017","Calcimar"
"DB00017","Miacalcin (Novartis)"
"DB00018","Alferon (Interferon Sciences Inc.)"
"DB00018","Alferon LDO"
"DB00018","Alferon N Injection"
"DB00019","Neulasta (Amgen Inc.)"
"DB00020","Immunex"
"DB00020","Leucomax (Novartis)"
"DB00020","Leukine"
"DB00020","Leukine (Berlex Laboratories Inc)"
"DB00021","SecreFlo"
"DB00021","Secremax, SecreFlo (Repligen Corp)"
"DB00022","PEG-Intron	(Schering Corp)"
"DB00022","Unitron PEG"
"DB00023","Elspar (Merck & Co. Inc)"
"DB00024","Thyrogen (Genzyme Inc)"
"DB00025","Advate"
"DB00025","Alphanate"
"DB00025","Bioclate"
"DB00025","Helixate"
"DB00025","Helixate FS"
"DB00025","Hemofil M"
"DB00025","Humate-P"
"DB00025","Hyate:C"
"DB00025","Koate-HP"
"DB00025","Kogenate"
"DB00025","Kogenate FS"
"DB00025","Monarc-M"
"DB00025","Monoclate-P"
"DB00025","ReFacto"
"DB00025","Xyntha"
"DB00026","Kineret (Amgen Inc)"
"DB00027","Neosporin (Pfizer)"
"DB00028","Civacir"
"DB00028","Flebogamma (Instituto Grifols SA)"
"DB00028","Gamunex (Talecris Biotherapeutics)"
"DB00029","Eminase (Wulfing Pharma GmbH)"
"DB00030","Novolin R (Novo Nordisk)"
"DB00031","TNKase (Genentech Inc)"
"DB00032","Repronex"
"DB00033","Actimmune"
"DB00033","Actimmune (InterMune Inc)"
"DB00034","Roferon A (Hoffmann-La Roche Inc)"
"DB00034","Veldona (Amarillo Biosciences)"
"DB00035","Adiuretin"
"DB00035","Concentraid"
"DB00035","Stimate"
"DB00036","NovoSeven (Novo Nordisk)"
"DB00038","Neumega"
"DB00038","Neumega (Genetics Institute Inc)"
"DB00039","Kepivance (Amgen Inc)"
"DB00040","GlucaGen (Novo Nordisk)"
"DB00040","Glucagon (Eli Lilly)"
"DB00041","Proleukin"
"DB00041","Proleukin (Chiron Corp)"
"DB00042","Myobloc (Solstice Neurosciences)"
"DB00042","Neurobloc (Solstice Neurosciences)"
"DB00043","Xolair (Genentech Inc)"
"DB00044","Luveris (Serono)"
"DB00045","LYMErix (SmithKline Beecham)"
"DB00046","Humalog (Eli Lily)"
"DB00046","Insulin Lispro (Eli Lily)"
"DB00047","Lantus"
"DB00048","Cordase"
"DB00048","Santyl (Advance Biofactures Corp)"
"DB00048","Xiaflextm"
"DB00049","Elitek"
"DB00049","Elitek (Sanofi-Synthelabo Inc)"
"DB00049","Fasturtec"
"DB00050","Cetrotide"
"DB00051","Humira (Abbott Laboratories)"
"DB00052","BioTropin (Biotech General)"
"DB00052","Genotropin (Pfizer)"
"DB00052","Humatrope (Eli Lilly)"
"DB00052","Norditropin (Novo Nordisk)"
"DB00052","Nutropin (Genentech Inc.)"
"DB00052","NutropinAQ (Genentech Inc.)"
"DB00052","Protropin (Genentech Inc.)"
"DB00052","Saizen (Serono SA)"
"DB00052","Serostim"
"DB00052","Serostim (Serono SA)"
"DB00052","Tev-Tropin (GATE)"
"DB00053","Ceredase (Genzyme)"
"DB00053","Cerezyme (Genzyme Corp)"
"DB00054","ReoPro"
"DB00054","ReoPro (Centocor)"
"DB00055","Xigris"
"DB00055","Xigris (Eli Lilly & Co)"
"DB00056","Mylotarg"
"DB00056","Mylotarg (Wyeth)"
"DB00057","OncoScint (Cytogen Corp, Lonza Biologics)"
"DB00058","Aralast (Baxter)"
"DB00058","Prolastin (Talecris Biotherapeutics C formerly Bayer)"
"DB00059","Oncaspar (Enzon Inc)"
"DB00060","Avonex (Biogen Inc)"
"DB00060","Belerofon"
"DB00061","Adagen (Enzon Inc.)"
"DB00062","Albutein (Alpha Therapeutic Corp)"
"DB00063","Integrilin"
"DB00063","Integrilin (Millennium Pharm)"
"DB00064","Megatope (IsoTex Diagnostics)"
"DB00065","Remicade (Centocor Inc)"
"DB00066","Follistim (Organon)"
"DB00066","Gonal F"
"DB00066","Gonal-F"
"DB00067","Pitressin"
"DB00067","Pressyn"
"DB00068","Betaseron (Chiron Corp)"
"DB00069","Advaferon"
"DB00069","Infergen (InterMune Inc)"
"DB00070","Vitragan"
"DB00070","Vitrase"
"DB00070","Vitrase (Ista Pharma)"
"DB00071","Iletin II"
"DB00072","Herceptin (Genentech)"
"DB00073","Rituxan (Genentech Inc)"
"DB00074","Simulect (Novartis Pharmaceuticals)"
"DB00075","Orthoclone OKT3 (Ortho Biotech)"
"DB00076","DigiFab"
"DB00078","Zevalin (IDEC Pharmaceuticals)"
"DB00080","Cubicin"
"DB00081","Bexxar (Corixa Corp)"
"DB00082","Somavert (Pfizer Inc)"
"DB00083","BOTOX (Allegran Inc)"
"DB00083","BOTOX Cosmetic (Allegran Inc)"
"DB00083","Botox"
"DB00083","Dysport"
"DB00085","Cotazym (Organon)"
"DB00085","Creon"
"DB00085","Ku-Zyme (Koichi)"
"DB00085","Pancrease (Ortho-McNeil)"
"DB00085","Ultrase (Axcan Scandipharm)"
"DB00085","Zymase (Organon)"
"DB00086","Streptase	(Aventis Behringer GmbH)"
"DB00087","Campath"
"DB00087","Campath (ILEX Pharmaceuticals LP)"
"DB00087","MabCampath"
"DB00088","Ceredase (Genzyme Corp)"
"DB00089","ProstaScint (Cytogen Corp)"
"DB00090","Aldurazyme (Biomarin Pharmaceuticals)"
"DB00091","Gengraf (Abbott labs)"
"DB00091","Neoral (Novartis)"
"DB00091","Restasis"
"DB00091","Restasis (Allergan Inc)"
"DB00091","Sandimmune (Novartis)"
"DB00091","Sangcya"
"DB00092","Amevive"
"DB00092","Amevive (Biogen Inc.)"
"DB00093","Felipresina [INN-Spanish]"
"DB00093","Felipressina [DCIT]"
"DB00093","Felypressin [USAN:BAN:INN]"
"DB00093","Felypressine [INN-French]"
"DB00093","Felypressinum [INN-Latin]"
"DB00093","Octapressin"
"DB00094","Fertinex (Serono S.A.)"
"DB00095","Raptiva"
"DB00095","Raptiva (Genentech Inc)"
"DB00096","Optison"
"DB00096","Perflutren Protein-Type A Microspheres"
"DB00097","Novarel (Ferring)"
"DB00097","Ovidrel (Serono SA)"
"DB00097","Pregnyl (Organon)"
"DB00097","Profasi (Serono)"
"DB00098","Genzyme)"
"DB00098","Thymoglobulin (SangStat Medical"
"DB00099","Neupogen (Amgen Inc.)"
"DB00100","Benefix (Genetics Institute)"
"DB00102","Regranex"
"DB00102","Regranex (OMJ Pharmaceuticals)"
"DB00103","Fabrazyme"
"DB00103","Fabrazyme	(Genzyme Corp)"
"DB00103","Replagal"
"DB00104","Atrigel"
"DB00104","Longastatin"
"DB00104","Sandostatin"
"DB00104","Sandostatin LAR"
"DB00104","Sandostatin LAR	(Novartis)"
"DB00105","Intron A (Schering Corp)"
"DB00106","Plenaxis"
"DB00106","Plenaxis (Praecis Pharmaceuticals)"
"DB00107","Oxytocin (BAM Biotech)"
"DB00107","Pitocin (Parke-Davis)"
"DB00107","Syntocinon (Sandoz)"
"DB00108","Tysabri"
"DB00108","Tysabri (Elan Pharmaceuticals and Biogen Idec)"
"DB00109","Fuzeon"
"DB00109","Fuzeon (Roche Pharmaceuticals)"
"DB00110","Synagis"
"DB00110","Synagis (MedImmune Inc)"
"DB00111","Zenapax (Hoffmann-La Roche Inc)"
"DB00112","Avastin"
"DB00112","Avastin (Genentech Inc)"
"DB00113","CEA-Scan"
"DB00113","CEA-Scan (Immunomedics Inc)"
"DB00114","Biosechs"
"DB00114","Hairoxal"
"DB00114","Hiadelon"
"DB00114","Himitan"
"DB00114","Pidopidon"
"DB00114","Vitazechs"
"DB00115","Anacobin"
"DB00115","Bedoz"
"DB00115","Berocca PN"
"DB00115","Berubigen"
"DB00115","Betalin 12"
"DB00115","Cernevit-12"
"DB00115","Cobavite"
"DB00115","Cobex"
"DB00115","Cobolin-M"
"DB00115","Crystamine"
"DB00115","Crysti-12"
"DB00115","Cyanocobalamin Co 57 Schilling Test Kit"
"DB00115","Cyanoject"
"DB00115","Cyomin"
"DB00115","Depinar"
"DB00115","Dicopac"
"DB00115","Dicopac Kit"
"DB00115","Infuvite Pediatric"
"DB00115","M.V.I. Pediatric"
"DB00115","Nascobal"
"DB00115","Neuroforte-R"
"DB00115","Primabalt"
"DB00115","Redisol"
"DB00115","Rubivite"
"DB00115","Rubramin PC"
"DB00115","Rubratope-57 Kit"
"DB00115","Rubratope-60 Kit"
"DB00115","Ruvite"
"DB00115","Shovite"
"DB00115","Vi-Twel"
"DB00115","Vibal"
"DB00115","Vibisone"
"DB00115","Vitabee 12"
"DB00115","Vitaped"
"DB00118","SAMe Rx-Mood (Nature's Plus)"
"DB00118","Sam-Sulfate (Natrol)"
"DB00121","Biodermatin"
"DB00121","Bioepiderm"
"DB00121","Bios II"
"DB00121","Biotin Forte"
"DB00121","Factor S"
"DB00121","Lutavit H2"
"DB00121","Meribin"
"DB00121","Rovimix H2"
"DB00123","Enisyl"
"DB00125","Argamine"
"DB00125","Argivene"
"DB00125","Detoxargin"
"DB00125","Levargin"
"DB00125","Minophagen A"
"DB00125","R-Gene 10 (Pharmacia Corp.)"
"DB00126","Adenex"
"DB00126","Allercorb"
"DB00126","Antiscorbic Vitamin"
"DB00126","Antiscorbutic Vitamin"
"DB00126","Arco-Cee"
"DB00126","Ascoltin"
"DB00126","Ascor-B.I.D."
"DB00126","Ascorb"
"DB00126","Ascorbajen"
"DB00126","Ascorbicab"
"DB00126","Ascorbicap"
"DB00126","Ascorbicin"
"DB00126","Ascorbin"
"DB00126","Ascorbutina"
"DB00126","Ascorin"
"DB00126","Ascorteal"
"DB00126","Ascorvit"
"DB00126","C-Level"
"DB00126","C-Long"
"DB00126","C-Quin"
"DB00126","C-Span"
"DB00126","C-Vimin"
"DB00126","Cantan"
"DB00126","Cantaxin"
"DB00126","Catavin C"
"DB00126","Ce Lent"
"DB00126","Cebicure"
"DB00126","Cebid"
"DB00126","Cebion"
"DB00126","Cebione"
"DB00126","Cecon"
"DB00126","Cee-Caps Td"
"DB00126","Cee-Vite"
"DB00126","Cegiolan"
"DB00126","Ceglion"
"DB00126","Celaskon"
"DB00126","Celin"
"DB00126","Cemagyl"
"DB00126","Cemill"
"DB00126","Cenetone"
"DB00126","Cenolate"
"DB00126","Cereon"
"DB00126","Cergona"
"DB00126","Cescorbat"
"DB00126","Cetamid"
"DB00126","Cetane"
"DB00126","Cetane-Caps Tc"
"DB00126","Cetane-Caps Td"
"DB00126","Cetebe"
"DB00126","Cetemican"
"DB00126","Cevalin"
"DB00126","Cevatine"
"DB00126","Cevex"
"DB00126","Cevi-Bid"
"DB00126","Cevimin"
"DB00126","Cevital"
"DB00126","Cevitamic Acid"
"DB00126","Cevitamin"
"DB00126","Cevitan"
"DB00126","Cevitex"
"DB00126","Cewin"
"DB00126","Ciamin"
"DB00126","Cipca"
"DB00126","Citriscorb"
"DB00126","Colascor"
"DB00126","Concemin"
"DB00126","Davitamon C"
"DB00126","Duoscorb"
"DB00126","Hicee"
"DB00126","Hybrin"
"DB00126","IDO-C"
"DB00126","Kyselina Askorbova"
"DB00126","Laroscorbine"
"DB00126","Lemascorb"
"DB00126","Liqui-Cee"
"DB00126","Meri-C"
"DB00126","Natrascorb"
"DB00126","Planavit C"
"DB00126","Proscorbin"
"DB00126","Redoxon"
"DB00126","Ribena"
"DB00126","Roscorbic"
"DB00126","Scorbacid"
"DB00126","Scorbu-C"
"DB00126","Secorbate"
"DB00126","Sodascorbate"
"DB00126","Testascorbic"
"DB00126","Vicelat"
"DB00126","Vicin"
"DB00126","Vicomin C"
"DB00126","Viforcit"
"DB00126","Viscorin"
"DB00126","Vitace"
"DB00126","Vitacee"
"DB00126","Vitacimin"
"DB00126","Vitacin"
"DB00126","Vitamisin"
"DB00126","Vitascorbol"
"DB00126","Xitix"
"DB00127","Gerontine"
"DB00127","Musculamine"
"DB00127","Neuridine"
"DB00128","Aspatofort"
"DB00129","OKG (Nature's Bounty)"
"DB00130","Cebrogen"
"DB00130","Earthlink Science Glutamine Chews Chocolate (Amerifit)"
"DB00130","Glavamin"
"DB00130","Glutamine Express (Genetic Evolutionary Nutrition)"
"DB00130","Glutamine Fuel Mega (Twinlab)"
"DB00130","Glutamine Fuel Powder (Twinlab)"
"DB00130","L-Glutamine Power (Champion Nutrition)"
"DB00130","Saforis"
"DB00130","Stimulina"
"DB00131","Adenovite"
"DB00131","Cardiomone"
"DB00131","Lycedan"
"DB00131","My-B-Den"
"DB00131","Phosaden"
"DB00131","Phosphaden"
"DB00134","Acimethin"
"DB00134","Cymethion"
"DB00135","Rxosine"
"DB00135","Tyrosine"
"DB00135","Tyrosine Power"
"DB00136","Calcijex"
"DB00136","Decostriol"
"DB00136","Rocaltrol"
"DB00137","Bo-Xan"
"DB00139","Katasuccin"
"DB00139","Kyselina jantarova"
"DB00140","Aqua-Flave"
"DB00140","Beflavin"
"DB00140","Beflavine"
"DB00140","Bisulase"
"DB00140","Dermadram"
"DB00140","Fiboflavin"
"DB00140","Flavaxin"
"DB00140","Flavin"
"DB00140","Flavin Bb"
"DB00140","Flaxain"
"DB00140","HSDB 817"
"DB00140","Hyflavin"
"DB00140","Hyre"
"DB00140","Lactobene"
"DB00140","Ovoflavin"
"DB00140","Ribipca"
"DB00140","Ribocrisina"
"DB00140","Riboderm"
"DB00140","Ribosyn"
"DB00140","Ribotone"
"DB00140","Ribovel"
"DB00140","Vitaflavine"
"DB00140","Vitasan B2"
"DB00141","Aflexa"
"DB00141","GS-500"
"DB00141","Maxi GS"
"DB00141","Natures Blend Glucosamine"
"DB00142","Aciglut"
"DB00142","Glusate"
"DB00142","Glutacid"
"DB00142","Glutamicol"
"DB00142","Glutamidex"
"DB00142","Glutaminol"
"DB00142","Glutaton"
"DB00143","Copren"
"DB00143","Isethion"
"DB00143","Ledac"
"DB00143","Neuthion"
"DB00143","Tathion"
"DB00144","LifeExtension PS Caps"
"DB00145","Aciport"
"DB00145","Glicoamin"
"DB00145","Glycocoll"
"DB00145","Glycolixir"
"DB00145","Glycosthene"
"DB00145","Gyn-Hydralin"
"DB00145","Padil"
"DB00146","Calderol"
"DB00146","Delakmin"
"DB00148","Cosmocair C 100"
"DB00148","Creatin"
"DB00148","Kreatin"
"DB00148","Krebiozon"
"DB00148","Phosphagen"
"DB00148","Pyrolysate"
"DB00150","Alti-Tryptophan"
"DB00150","Lyphan"
"DB00152","Aneurin"
"DB00152","Antiberiberi Factor"
"DB00152","Betalin S"
"DB00152","Betaxin"
"DB00152","Bewon"
"DB00152","Biamine"
"DB00152","Cernevit-12"
"DB00152","Infuvite Pediatric"
"DB00152","M.V.I.-12 Lyophilized"
"DB00152","Vitaneuron"
"DB00152","Vitaped"
"DB00153","Buco-D"
"DB00153","Calciferol"
"DB00153","Calciferon 2"
"DB00153","Condacaps"
"DB00153","Condocaps"
"DB00153","Condol"
"DB00153","Crtron"
"DB00153","Crystallina"
"DB00153","D-Arthin"
"DB00153","D-Tracetten"
"DB00153","Daral"
"DB00153","Davitamon D"
"DB00153","Davitin"
"DB00153","De-Rat Concentrate"
"DB00153","Decaps"
"DB00153","Dee-Osterol"
"DB00153","Dee-Ron"
"DB00153","Dee-Ronal"
"DB00153","Dee-Roual"
"DB00153","Deltalin"
"DB00153","Deratol"
"DB00153","Detalup"
"DB00153","Diactol"
"DB00153","Divit Urto"
"DB00153","Doral"
"DB00153","Drisdol"
"DB00153","Ercalciol"
"DB00153","Ergorone"
"DB00153","Ergosterol Activated"
"DB00153","Ergosterol, Irradiated"
