"id","name"
"DB00001","Hirudin variant-1"
"DB00002","Anti EGFR"
"DB00002","IMC-C225"
"DB00002","cetuximab"
"DB00003","DNase"
"DB00003","DNase I"
"DB00003","Deoxyribonuclease I"
"DB00003","Deoxyribonuclease-1 precursor"
"DB00003","Dornase alfa"
"DB00003","rhDNase"
"DB00004","DT"
"DB00004","Diphtheria toxin precursor"
"DB00004","NAD(+--diphthamide ADP- ribosyltransferase)"
"DB00004","denileukin diftitox"
"DB00005","CD120b"
"DB00005","TNF-R2"
"DB00005","Tumor necrosis factor receptor 2"
"DB00005","Tumor necrosis factor receptor superfamily member 1B precursor"
"DB00005","Tumor necrosis factor receptor type II"
"DB00005","etanercept"
"DB00005","p75"
"DB00005","p80 TNF-alpha receptor"
"DB00006","Angiomax"
"DB00006","bivalirudin"
"DB00007","Eligard"
"DB00007","inhalable"
"DB00007","leuprolide"
"DB00009","Tissue-type plasminogen activator precursor"
"DB00009","t-PA"
"DB00009","t-plasminogen activator"
"DB00009","tPA"
"DB00010","Geref"
"DB00011","Interferon alpha-2"
"DB00011","Interferon alpha-A"
"DB00011","LeIF A"
"DB00012","Epoetin"
"DB00012","Erythropoietin precursor"
"DB00013","U-plasminogen activator"
"DB00013","Urokinase-type plasminogen activator precursor"
"DB00013","uPA"
"DB00013","urokinase"
"DB00014","Goserelin acetate"
"DB00014","Goserelin acetate (JAN/USP)"
"DB00015","Tissue-type plasminogen activator precursor"
"DB00015","t- PA"
"DB00015","t-plasminogen activator"
"DB00015","tPA"
"DB00016","Epoetin"
"DB00016","Erythropoietin precursor"
"DB00017","Calcitonin 1 precursor"
"DB00017","Calcitonin, salmon"
"DB00017","Calcitonin-salmon"
"DB00017","Salmotonin"
"DB00017","salmon calcitonin"
"DB00018","interferon alfa-n3"
"DB00019","G-CSF"
"DB00019","Granulocyte colony-stimulating factor precursor"
"DB00019","Lenograstim"
"DB00019","Pluripoietin"
"DB00020","CSF"
"DB00020","Colony-stimulating factor"
"DB00020","GM-CSF"
"DB00020","Granulocyte-macrophage colony-stimulating factor precursor"
"DB00020","Molgramostin"
"DB00020","sargramostim"
"DB00021","Secremax, SecreFlo"
"DB00021","secretin"
"DB00023","L-asparagine amidohydrolase"
"DB00023","Putative L-asparaginase precursor"
"DB00024","FSH-B"
"DB00024","FSH-beta"
"DB00024","Follicle-stimulating hormone beta subunit"
"DB00024","Follitropin beta chain precursor"
"DB00025","AHF"
"DB00025","Coagulation factor VIII precursor"
"DB00025","Procoagulant component"
