"id","name","dbpediaResource"
"DB00001","Lepirudin","Lepirudin"
"DB00002","Cetuximab","Cetuximab"
"DB00003","Dornase Alfa","Dornase_alfa"
"DB00004","Denileukin diftitox","Denileukin_diftitox"
"DB00005","Etanercept","Etanercept"
"DB00006","Bivalirudin","Bivalirudin"
"DB00007","Leuprolide","Leuprolide"
"DB00008","Peginterferon alfa-2a","Peginterferon_alfa-2a"
"DB00009","Alteplase","Alteplase"
"DB00010","Sermorelin","Sermorelin"
"DB00011","Interferon alfa-n1",""
"DB00012","Darbepoetin alfa","Darbepoetin_alfa"
"DB00013","Urokinase","Urokinase"
"DB00014","Goserelin","Goserelin"
"DB00015","Reteplase","Reteplase"
"DB00016","Epoetin alfa","Epoetin_alfa"
"DB00017","Salmon Calcitonin","Calcitonin"
"DB00018","Interferon alfa-n3",""
"DB00019","Pegfilgrastim","Pegfilgrastim"
"DB00020","Sargramostim","Sargramostim"
"DB00021","Secretin","Secretin"
"DB00022","Peginterferon alfa-2b","Peginterferon_alfa-2b"
"DB00023","Asparaginase","Asparaginase"
"DB00024","Thyrotropin Alfa",""
"DB00025","Antihemophilic Factor","Antihemophilic_Factor"
"DB00026","Anakinra","Anakinra"
"DB00027","Gramicidin D","Gramicidin_D"
"DB00028","Immune globulin",""
"DB00029","Anistreplase","Anistreplase"
"DB00030","Insulin recombinant",""
"DB00031","Tenecteplase","Tenecteplase"
"DB00032","Menotropins","Menotropins"
"DB00033","Interferon gamma-1b","Interferon_gamma-1b"
"DB00034","Interferon Alfa-2a, Recombinant",""
"DB00035","Desmopressin","Desmopressin"
"DB00036","Coagulation factor VIIa","Factor_VII"
"DB00038","Oprelvekin","Oprelvekin"
"DB00039","Palifermin","Palifermin"
"DB00040","Glucagon recombinant","Glucagon_recombinant"
"DB00041","Aldesleukin","Aldesleukin"
"DB00042","Botulinum Toxin Type B","Botulinum_toxin"
"DB00043","Omalizumab","Omalizumab"
"DB00044","Lutropin alfa","Lutropin_alfa"
"DB00045","OspA lipoprotein",""
"DB00046","Insulin Lyspro recombinant","Insulin_lispro"
"DB00047","Insulin Glargine recombinant","Insulin_glargine"
"DB00048","Collagenase","Collagenase"
"DB00049","Rasburicase","Rasburicase"
"DB00050","Cetrorelix","Cetrorelix"
"DB00051","Adalimumab","Adalimumab"
"DB00052","Somatropin recombinant","Somatropin_recombinant"
"DB00053","Imiglucerase","Imiglucerase"
"DB00054","Abciximab","Abciximab"
"DB00055","Drotrecogin alfa","Drotrecogin_alfa"
"DB00056","Gemtuzumab ozogamicin","Gemtuzumab_ozogamicin"
"DB00057","Satumomab Pendetide",""
"DB00058","Alpha-1-proteinase inhibitor","Alpha_1-antitrypsin"
"DB00059","Pegaspargase","Pegaspargase"
"DB00060","Interferon beta-1a","Interferon_beta-1a"
"DB00061","Pegademase bovine",""
"DB00062","Human Serum Albumin",""
"DB00063","Eptifibatide","Eptifibatide"
"DB00064","Serum albumin iodonated",""
"DB00065","Infliximab","Infliximab"
"DB00066","Follitropin beta","Follicle-stimulating_hormone"
"DB00067","Vasopressin","Vasopressin"
"DB00068","Interferon beta-1b","Interferon_beta-1b"
"DB00069","Interferon alfacon-1",""
"DB00070","Hyaluronidase","Hyaluronidase"
"DB00071","Insulin, porcine",""
"DB00072","Trastuzumab","Trastuzumab"
"DB00073","Rituximab","Rituximab"
"DB00074","Basiliximab","Basiliximab"
"DB00075","Muromonab","Muromonab"
"DB00076","Digoxin Immune Fab",""
"DB00078","Ibritumomab","Ibritumomab"
"DB00080","Daptomycin","Daptomycin"
"DB00081","Tositumomab","Tositumomab"
"DB00082","Pegvisomant",""
"DB00083","Botulinum Toxin Type A","Botox"
"DB00085","Pancrelipase","Pancrelipase"
"DB00086","Streptokinase","Streptokinase"
"DB00087","Alemtuzumab","Alemtuzumab"
"DB00088","Alglucerase","Alglucerase"
"DB00089","Capromab","Capromab"
"DB00090","Laronidase","Laronidase"
"DB00091","Cyclosporine","Cyclosporine"
"DB00092","Alefacept","Alefacept"
"DB00093","Felypressin","Felypressin"
"DB00094","Urofollitropin","Urofollitropin"
"DB00095","Efalizumab","Efalizumab"
"DB00096","Serum albumin","Serum_albumin"
"DB00097","Choriogonadotropin alfa","Choriogonadotropin_alfa"
"DB00098","Antithymocyte globulin",""
"DB00099","Filgrastim","Filgrastim"
"DB00100","Coagulation Factor IX","Factor_IX"
"DB00102","Becaplermin","Becaplermin"
"DB00103","Agalsidase beta","Agalsidase_beta"
"DB00104","Octreotide","Octreotide"
"DB00105","Interferon Alfa-2b, Recombinant",""
"DB00106","Abarelix","Abarelix"
"DB00107","Oxytocin","Oxytocin"
"DB00108","Natalizumab","Natalizumab"
"DB00109","Enfuvirtide","Enfuvirtide"
"DB00110","Palivizumab","Palivizumab"
"DB00111","Daclizumab","Daclizumab"
"DB00112","Bevacizumab","Bevacizumab"
"DB00113","Arcitumomab","Arcitumomab"
"DB00114","Pyridoxal Phosphate","Pyridoxal-phosphate"
"DB00115","Cyanocobalamin","Cyanocobalamin"
"DB00116","Tetrahydrofolic acid","Tetrahydrofolic_acid"
"DB00117","L-Histidine","L-Histidine"
"DB00118","S-Adenosylmethionine","S-Adenosylmethionine"
"DB00119","Pyruvic acid","Pyruvic_acid"
"DB00120","L-Phenylalanine","L-Phenylalanine"
"DB00121","Biotin","Biotin"
"DB00122","Choline","Choline"
"DB00123","L-Lysine","L-Lysine"
"DB00125","L-Arginine","L-Arginine"
"DB00126","Vitamin C","Vitamin_C"
"DB00127","Spermine","Spermine"
"DB00128","L-Aspartic Acid","L-Aspartic_Acid"
"DB00129","L-Ornithine",""
"DB00130","L-Glutamine","L-Glutamine"
"DB00131","Adenosine monophosphate","Adenosine_monophosphate"
"DB00132","Alpha-Linolenic Acid","Alpha-linolenic_acid"
"DB00133","L-Serine","Serine"
"DB00134","L-Methionine",""
"DB00135","L-Tyrosine","L-Tyrosine"
"DB00136","Calcitriol","Calcitriol"
"DB00137","Xanthophyll","Xanthophyll"
"DB00138","L-Cystine",""
"DB00139","Succinic acid","Succinate"
"DB00140","Riboflavin","Riboflavin"
"DB00141","N-Acetyl-D-glucosamine",""
"DB00142","L-Glutamic Acid","L-Glutamic_Acid"
"DB00143","Glutathione","Glutathione"
"DB00144","Phosphatidylserine","Phosphatidylserine"
"DB00145","Glycine","Glycine"
"DB00146","Calcidiol","Calcidiol"
"DB00147","Pyridoxal","Pyridoxal"
"DB00148","Creatine","Creatine"
"DB00149","L-Leucine","L-Leucine"
"DB00150","L-Tryptophan",""
"DB00151","L-Cysteine","L-Cysteine"
"DB00152","Thiamine","Thiamine"
"DB00153","Ergocalciferol","Ergocalciferol"
"DB00154","gamma-Homolinolenic acid",""
"DB00155","L-Citrulline",""
"DB00156","L-Threonine","L-Threonine"
"DB00157","NADH","Nicotinamide_adenine_dinucleotide"
"DB00158","Folic Acid","Folic_Acid"
"DB00159","Icosapent",""
"DB00160","L-Alanine",""
"DB00161","L-Valine",""
